,SPEAKER,Text
0,SPEAKER_00," First of all, I would like to thank the Lord our God for all his blessings. I would also like to thank my family and friends who are here for the love and support."
1,SPEAKER_00," I would also like to thank my father up in heaven for watching down on me, and I would like to thank my entire defense team."
2,SPEAKER_00," And, um..."
3,SPEAKER_00," I'd also like to thank the jury for their considering my case. And I would also like to thank you, your honor, for presiding over this hearing, I mean for this case."
4,SPEAKER_00, Now I would like to apologize to the victims of my crimes and all the people that I hurt.
5,SPEAKER_00," Um, obviously my family, my friends, Tiffany, Atsman, Andrew Hunt on the rose and of course the Lord, our God."
6,SPEAKER_00, Um...
7,SPEAKER_00," I know that as a result of my actions, I shocked and hurt a lot of people, but"
8,SPEAKER_00, That wasn't my intention.
9,SPEAKER_00," I simply wanted to help, but now I realize that what I did was wrong."
10,SPEAKER_00, Well...
11,SPEAKER_00, Bye.
12,SPEAKER_00, I'm...
13,SPEAKER_00, I'm willing to do whatever is necessary now.
14,SPEAKER_00, and also
15,SPEAKER_00, I would like to say once again I'm sorry for what happened.
16,SPEAKER_00, I know it was a once again a horrible thing and
17,SPEAKER_00," Well, thank you for listening, Your Honor, and everyone here in the home. Thank you."
