,SPEAKER,Text
0,SPEAKER_01, What do you have to say to people who are out there who are scared because of what you did today?
1,SPEAKER_00, Uh...
2,SPEAKER_00," I don't know if it's gonna make any better. I could say sorry all I want, but it doesn't matter now. Do you feel sorry? Do you feel remorseful? Yeah. That's why I put down the gun. I could have kept going. There was no officers there to stop me."
3,SPEAKER_01, feel remorseful?
4,SPEAKER_00," I put it down because there was a girl there, she didn't run from me. She just, I shot through the door. I could have shot her, but I just don't know. I just couldn't do it. So I just shot through the door. She was walking and crying and walking away. And that just made me just throw that on the gun instead of bumping it. It kept, instead of shooting more doors, I stopped. And I gave myself to a teacher."
5,SPEAKER_01, Mm-hmm.
6,SPEAKER_01," Now that this has ended the way that it did, what do you have to say to the 17-year-old who was hurt? I didn't see him."
7,SPEAKER_01," So that was unintentional, what happened there? It was just through the door."
8,SPEAKER_00, But I heard someone screaming like they were herders. I never heard that scream before.
9,SPEAKER_00, So.
10,SPEAKER_00, But what I gotta say to him is nothing.
11,SPEAKER_00, He's gonna think whatever he wants about me.
12,SPEAKER_01, Thank you.
13,SPEAKER_01, Are you sorry for hurting us?
14,SPEAKER_00," Yeah, but..."
15,SPEAKER_01, Yeah.
16,SPEAKER_00, You can aim me all you want. It doesn't matter anymore.
17,SPEAKER_01, you say that you have a mental health problem.
18,SPEAKER_01," That's something that, I mean, do you want help for that? What?"
19,SPEAKER_00, It's not really my mental or disease or anything like that. It's just being around stuff that a child shouldn't be around. My first memory was violence and conflict. That's my first memory.
20,SPEAKER_00," And no one will believe me. That's one of the reasons people don't take me serious. I tell people, one of my first memories of violence and conflict, they don't believe me. But."
21,SPEAKER_01," Sky, how'd you get a gun?"
22,SPEAKER_00," I was watching Vice News and they showed ways how to get a gun without a background check. They showed gun shows, which they do require background checks, but then they showed this website called armslist.com where you can get private sales with anyone in your state. It's just a messaging. So it's not like, you're not buying guns online, you're just meeting people to sell you the guns and that's how I got it."
23,SPEAKER_01, Do you feel that you should have had a gun?
24,SPEAKER_01, No sir.
25,SPEAKER_00, You
26,SPEAKER_01, Um...
27,SPEAKER_01," What do you foresee in your future now, after today?"
28,SPEAKER_00, Uh...
29,SPEAKER_00, Solitary.
30,SPEAKER_01, Is there any kind of message that you want to send your side of this?
31,SPEAKER_00, Alright.
32,SPEAKER_00," I don't think there's anything to say because it's just a storm. There's nothing you can do to prevent it. You got a tornado that's coming through, you don't know if this wind's gonna make a tornado or just like a breeze, so no one knows. And that's just the way it's gonna be."
33,SPEAKER_00, Were you ever.
34,SPEAKER_01, Could it be physical or emotional?
35,SPEAKER_00," I was just around mental illness my whole life, but I wasn't hit or anything. I was just probably just neglect a lot."
36,SPEAKER_00," So you're on mental illness? I'm not mentally, I'm more of a- I'm just saying, were you around? Yeah, so a lot of, a lot of bipolar, schizophrenic people in my family. Okay. That are violent and scream pretty much on a daily basis."
37,SPEAKER_01, I'm not mentally on more
38,SPEAKER_01," Yes, a lot of..."
39,SPEAKER_01, Okay.
40,SPEAKER_00, and you want to just get away from that.
41,SPEAKER_00," I was going to join the Marine Corps, but I was Baker Acted at 14 years old. So that's prevented me from getting into the military."
42,SPEAKER_00, and getting away from them.
43,SPEAKER_01," So did you see this as your only way out of your situation? Pretty much, yeah."
44,SPEAKER_00, And walk me through this morning when you got up.
45,SPEAKER_00, to when the incident happened.
46,SPEAKER_01, to win it.
47,SPEAKER_00," Well, yeah, I woke up, I took my sawed off shot gun, I chambered one of the shells in, because it only holds three rounds, so I put another one in the tube, put it away. And pretty much the only thing I'm feeling this time is just adrenaline rush, it's not anger, it's not hatred, it's just this adrenaline rush that I'm about to just do something, and I spend most of my time in a room alone, so I'm getting this rush, so that's what I was feeling. So."
48,SPEAKER_01, Thank you.
49,SPEAKER_00," But till I actually got to the school, the excitement built and it built and it built. And I realized there's no resource officers around. There's no one to stop me like I thought there would be. And I just got into the bathroom. I took my time putting on my gloves, my tactical vest. And but as soon as I walked- You went in the bathroom, you said, and put on your gear. Everyone just got into their classroom, it just started, so."
50,SPEAKER_01, as I walk.
51,SPEAKER_01, Yes. Put on your gear.
52,SPEAKER_01, So.
53,SPEAKER_00," And then as soon as I stepped out the bathroom, the excitement just went to a dead halt. And it felt like this disgusting feeling came over me, like I didn't know what to do, just confused."
54,SPEAKER_01, But you did go through and fire that one shot.
55,SPEAKER_00, I didn't know what to do.
56,SPEAKER_00, Figured you know if people just gonna see all those guys just coming up the toy gun so
57,SPEAKER_00," I didn't even think the gun would work, that's why I pointed it out the door. So I just shot and at first I didn't, I just saw a hole because I couldn't hear right away. But then as soon as I saw"
58,SPEAKER_01, Are you least thankful though that no one...
59,SPEAKER_00," Yeah, I'm very thankful that I asked everyone I could that, cuz I didn't even know I hit someone until the news reporter said, did you know that kid? I'm like, I don't know what you're talking about. Right."
60,SPEAKER_01, When did you order the gun? When did you get it?
61,SPEAKER_00," the gun? I went on arms lists. They did this, the news was showing this after the Valentine's Day massacre in Parkland and that's how they, it was around that time."
62,SPEAKER_01, around that time you ordered it.
63,SPEAKER_00," Yeah, right before the age went up to 21. That's when I got it."
64,SPEAKER_01, That's when I got it. And when did you actually get the gun?
65,SPEAKER_00," Uh, came in the mail? No, no, I went to the guy's house. Went to the guy's house? It's a private sale."
66,SPEAKER_01," It's a private sale. This is what you did, a private sale."
67,SPEAKER_00," Yes, and the gun it was, it's a 1930 shotgun so there's no papers on it."
68,SPEAKER_00," When you when did you got it basically? I don't remember the exact date, but around like like couple of weeks after Yeah, like a week after a week. So a week after the parkland shooting"
69,SPEAKER_01, but around like like
70,SPEAKER_01," Yeah, like a week after."
71,SPEAKER_01," Yeah, around there. So it hasn't been long that you."
72,SPEAKER_00," So it hasn't been long that you've been planning this. I don't have these fantasies towards hatreds, towards people, unless I get really depressed. And I was training martial arts before this. I was training muay thai and Brazilian jiu jitsu."
73,SPEAKER_00," And I was feeling, you know, I wasn't depressed or anything, but I just didn't have any friends. And as soon as I got a knee injury, you know, I'm alone in my house and there's nothing to do. So the depression and that rage came back."
74,SPEAKER_00," And you know, I just."
75,SPEAKER_00," I didn't express it, I couldn't express it in violence in a martial arts place, so I expressed it in violence in public. Which I shouldn't have done."
76,SPEAKER_01," Are you a former student of that school? Yes, sir."
77,SPEAKER_00," Yes, sir."
78,SPEAKER_01," What happened, you dropped out or?"
79,SPEAKER_00, I was just contemplating my Baker Act because I still didn't know if I could join the military or not.
