,SPEAKER,Text
0,SPEAKER_00, Mr. Wilkam will read you your rights on video again. They've already paid you before. Correct.
1,SPEAKER_00," Okay, you have the right to remain silent. Anything you say can and will be used against you in a court of law. Get right to talk to the lawyer and have a present with you. Why are you being"
2,SPEAKER_00, I represent you before any question if you wish. You can decide to exercise these rights and not make any statement.
3,SPEAKER_00, to talk to. Yes sir.
4,SPEAKER_00, What happened?
5,SPEAKER_00, My mom was in bed. I went into the kitchen. I got the pillow.
6,SPEAKER_00," I'm actually kidding, God, those are not it."
7,SPEAKER_00," Uh, once my mom's room, we overhead and stab her. It's dead. Why'd you stay in your life?"
8,SPEAKER_00, She always told me I wasn't out there eating. She always told me I was bad.
9,SPEAKER_00, She used to blame me when we did the fights.
10,SPEAKER_00, A little bit bigger than you.
11,SPEAKER_00, I outsmart her all the time.
12,SPEAKER_00, And she just hated me.
13,SPEAKER_00, and she had always been mad to me.
14,SPEAKER_00, there for me she always ran out on Friday
15,SPEAKER_00, That happens day after day.
16,SPEAKER_00," She wouldn't let me do anything, but she could go out."
17,SPEAKER_00, She can party.
18,SPEAKER_00, Thank you.
19,SPEAKER_00, And...
20,SPEAKER_00," My 9th grade year up here, she always just..."
21,SPEAKER_00, Thank you.
22,SPEAKER_00," I should be in 11th, I'm in 10th. I had so much going on, my first 9th grade year with my mom. I just could not keep my books down, I just could not do anything."
23,SPEAKER_00, and
24,SPEAKER_00, So what have you.
25,SPEAKER_00," Well, I just..."
26,SPEAKER_00," No, actually it wasn't last night. It was probably about Sunday."
27,SPEAKER_00, I got in from work.
28,SPEAKER_00, And.
29,SPEAKER_00," I started just not giving, I just thought I'd stop caring Friday for some reason. I just couldn't figure out how to stop caring."
30,SPEAKER_00," And people at school thought I was on drugs or something, because I just didn't care about anything."
31,SPEAKER_00, And uh...
32,SPEAKER_00," So the weekend, I just, you know, usual things read."
33,SPEAKER_00, and uh play this
34,SPEAKER_00, Thank you.
35,SPEAKER_00, It's okay.
36,SPEAKER_00, I'll play that a little bit.
37,SPEAKER_00, foot.
38,SPEAKER_00, Bye.
39,SPEAKER_00," and just, no, I'm sure Lou would take the gun and take the car."
40,SPEAKER_00, You can't understand. I did not.
41,SPEAKER_00," Luke, here's what I want to do. I want to go from this morning and pretty much get to how we led up to today. OK? All right. Tell me what time did you get up this morning?"
42,SPEAKER_00, Well.
43,SPEAKER_00," I woke up this morning, Ralph."
44,SPEAKER_00, Whatever.
45,SPEAKER_00, Well.
46,SPEAKER_00, I guess I kind of just...
47,SPEAKER_00," I want to say I was planning for this, but yet not. I didn't really want to. It's just... Why would you have been planning for it?"
48,SPEAKER_00," I wanted to do this, a long revenge on Christine. Christine, and who's Christine? Christine Minnifie, she's my ex-girlfriend. We broke up, we died a year ago."
49,SPEAKER_00, I know.
50,SPEAKER_00, First family.
51,SPEAKER_00," She goes,"
52,SPEAKER_00, Just a part of the first time I've shown it.
53,SPEAKER_00, Got a right to harm.
54,SPEAKER_00," So you gotta teach more calm. It's okay, calm down."
55,SPEAKER_00, So you got up this morning.
56,SPEAKER_00," And you just think it was kind of going in your mind? Yeah, I had time to plan saying, you know, well, I had all these Joe drafts broke up. I'm going to get her back, you know?"
57,SPEAKER_00," I mean, men do it in my mind, but yeah, I didn't want to because it wouldn't be right."
58,SPEAKER_00, Thank you.
59,SPEAKER_00, in the next year.
60,SPEAKER_00, That's when I met Kristina. This was last year.
61,SPEAKER_00," Jollins have, right?"
62,SPEAKER_00," No sir, she was younger than me. I had known her before then."
63,SPEAKER_00, when she was in the junior house.
64,SPEAKER_00, her and another girl that I was friends with at the time.
65,SPEAKER_00," me and another one of my friends, we're going to go to the Royal Junior High."
66,SPEAKER_00, graduation dance or whatever.
67,SPEAKER_00," She was going to give me Ozzy Osbourne tickets if I went with her. So, Ozzy, you know. I wanted to go see Ozzy. But we ended up not going, but me and her stayed friends. And she had become like my sister."
68,SPEAKER_00, I love to her more than any other thing on this earth.
69,SPEAKER_00," Then she, a friend of ours set us up and you know it."
70,SPEAKER_00," Nothing went wrong, nothing. I actually had somebody to love and somebody to love me. First time in my life, only time in my life."
71,SPEAKER_00, And then...
72,SPEAKER_00," She just, all of a sudden one day just broke up with, just, and I was devastated. I was gonna kill myself."
73,SPEAKER_00," That the next one out, I had going not 30 30, but there's no other one that's in."
74,SPEAKER_00, closet in my kitchen.
75,SPEAKER_00, And I had it in my mouth and one of her buddies called right then.
76,SPEAKER_00," When everybody's calling and asking me if I was okay, they were at the school comments and using the phones and everything."
77,SPEAKER_00," I told him, yeah, I'm OK."
78,SPEAKER_00," And a few minutes after that, I just, after that, I just."
79,SPEAKER_00, Maybe there's some reason I'm a block. That's why I keep you.
80,SPEAKER_00, And then another friend of mine called me and he's graduating now.
81,SPEAKER_00," But he, oh."
82,SPEAKER_00, He called me and made sure I was okay.
83,SPEAKER_00, He came over and we talked and stuff.
84,SPEAKER_00," He made me feel a little better. I didn't want to kill myself. That's good. And so then, next, that night, Christine called me. She's talking to me. She's telling me how sorry she was."
85,SPEAKER_00," And I was still in love with her. And so I just, yes, ma'am, yes, ma'am."
86,SPEAKER_00," Well now yes ma'am, it's you."
87,SPEAKER_00, And uh...
88,SPEAKER_00, She-ah.
89,SPEAKER_00, So the next day we got back together.
90,SPEAKER_00," But, I don't know, it's just the second time this is what pushed me over the edge. She just always, all the time- Did something happen yesterday at school? I'm gonna explain the whole thing, sir."
91,SPEAKER_00," She'd always flirt with other guys. She'd always do that kind of crap, right to my face. She'd always tell me how cute other guys were and all this kind of crap."
92,SPEAKER_00, And it just gets to you.
93,SPEAKER_00, Didn't care.
94,SPEAKER_00, enough
95,SPEAKER_00, bullshit
96,SPEAKER_00, She went on a choral music trip and she flirted with one of the guys there. She let her watch her change and all this kind of crap. They hung all over each other. She came back and told me all this. Told me.
97,SPEAKER_00, and.
98,SPEAKER_00, Don't meet again.
99,SPEAKER_00," And ever since now, I've never been the same."
100,SPEAKER_00, That was last year.
101,SPEAKER_00, for like a week before Thanksgiving.
102,SPEAKER_00, And uh...
103,SPEAKER_00," I just, I mean you can ask anybody at school, they'll tell you, I just."
104,SPEAKER_00," I hated, I really hated the world. Our elites walked around."
105,SPEAKER_00, Like I was gonna do what happened in school. That's what it looked like
106,SPEAKER_00," I mean, people were surprised because probably no one, because it's the way I act."
107,SPEAKER_00, and
108,SPEAKER_00," I try to be nice and a few people like me, but a lot of people are scared of me."
109,SPEAKER_00, And most people just hate it.
110,SPEAKER_00, still
111,SPEAKER_00, And uh...
112,SPEAKER_00, I just...
113,SPEAKER_00, all built up inside of me over time.
114,SPEAKER_00," People always picked on me, they always called me gay and stupid stuff like that."
115,SPEAKER_00," And I tried to find somebody else. When I opened the other door, Melissa, she wasn't there at school today either."
116,SPEAKER_00, But uh...
117,SPEAKER_00," But she, it turns out the whole time we were going out."
118,SPEAKER_00," She was making fun of me behind my back. And I mean, they just."
119,SPEAKER_00, And so we broke up and I always every day had to face Christina and Melissa every day.
120,SPEAKER_00, for almost a year.
121,SPEAKER_00, in
122,SPEAKER_00," Over the summer, you know, I kind of got better because, you know, after my birthday last year, this is right before I started going out with Melissa, I got a job down at Domino's Pizza. Yeah. And they all liked me. They all thought, I mean, all of it was..."
123,SPEAKER_00, I just worked all summer in red.
124,SPEAKER_00," I really didn't do much, just work and read and sleep."
125,SPEAKER_00, That's all I really want to do.
126,SPEAKER_00, Oh.
127,SPEAKER_00, I try to be friends for seniors since we've broken up. I try to be friends about three or four times. But she'd be my friend for a little while.
128,SPEAKER_00, But usually don't leave because she didn't have a boyfriend. And you know how women are like.
129,SPEAKER_00," Yeah, you only call me when you're down. That's what Bush said."
130,SPEAKER_00," Uh, they..."
131,SPEAKER_00, and
132,SPEAKER_00, It just all builds up over time.
133,SPEAKER_00, And no one in school likes me.
134,SPEAKER_00," Well, I mean, some people do. Sure, you're gonna have some. Some Koreans, but..."
135,SPEAKER_00, and uh...
136,SPEAKER_00," And you know, I didn't shoot a heme line. Whoever did heme was nice."
137,SPEAKER_00, and
138,SPEAKER_00, I know.
139,SPEAKER_00," that once I killed her, that, you know..."
140,SPEAKER_00, I knew I was going to snap. I just wanted to kill her.
141,SPEAKER_00," I walked into the commons, I had already written. How do you know it was 7.50 when it was done? Because it's on the clock. Okay. I had a plan to leave at 7.50 because we're getting there by the time of the bell. Okay."
142,SPEAKER_00, And uh...
143,SPEAKER_00, I walked into school at first without the gun. I had it in the backseat of the car.
144,SPEAKER_00," I handed it to one of my friends, Justin Slash. I handed it. I expected to die today. Honestly, I expected my right to kill me."
145,SPEAKER_00," Did you hand it to Justin Slade? No, no, I didn't hand my gun. Oh, that's alright. I had written up..."
146,SPEAKER_00, I'm a musician.
147,SPEAKER_00," And I also write poetry and a bunch of other stuff. I hand it, said..."
148,SPEAKER_00, just give this to Grant.
149,SPEAKER_00," and he's one of my friends. And I had a will written there, I had a eulogy for my funeral."
150,SPEAKER_00," And you know, I pretty much said everything."
151,SPEAKER_00, is
152,SPEAKER_00, Remember me.
153,SPEAKER_00," Well, I guess the world's gonna remember me now. I'm probably gonna get pretty famous. We're not there yet, so let's just... I know, I know."
154,SPEAKER_00," But, uh..."
155,SPEAKER_00, And so I walked outside.
