,SPEAKER,Text
0,SPEAKER_00, would wake us up for school.
1,SPEAKER_00, I can't dress.
2,SPEAKER_00, went downstairs.
3,SPEAKER_00, We'll be right back.
4,SPEAKER_00, walk down the street to a bus stall.
5,SPEAKER_00, had a casual conversation with people at the bus stop.
6,SPEAKER_00, Got onto the bus.
7,SPEAKER_00," went to school, took the shotgun out of the, out of my"
8,SPEAKER_00," entryway, went around the corner."
9,SPEAKER_00, Shout out to the crowd.
10,SPEAKER_00, Sue was not.
11,SPEAKER_00, previous foster homes.
12,SPEAKER_00, prior to being placed in her foster home was fairly abusive.
13,SPEAKER_00, the foster father would punish him.
14,SPEAKER_00, He and I for coming.
15,SPEAKER_00, trying to stand up for William because our foster brother.
16,SPEAKER_00," He would pinch or wake us up by pinching our faces. At some point in time, Williams' teacher realized that signs of physical abuse and she would ask why."
17,SPEAKER_00,
18,SPEAKER_00, to DFYS.
19,SPEAKER_00, The foster father was always...
20,SPEAKER_00, ever felt that I was telling
21,SPEAKER_00,
22,SPEAKER_00, Big.
23,SPEAKER_00, Do you know what a bungee cord is?
24,SPEAKER_00, always been strong.
25,SPEAKER_00, We'll be right back.
26,SPEAKER_00," Turn the music up loud, the door would be open outside. She's looking to have a good time. A byproduct of that was child support."
27,SPEAKER_00, At first it was...
28,SPEAKER_00, superficial.
29,SPEAKER_00," things. People make fun of me for what I look like, how I dress, that sort of thing."
30,SPEAKER_00," I decided that I needed to stand up for myself, doing what my foster mother at the time told me to do, which was..."
31,SPEAKER_00, And I decided that I needed to do something to stand up.
32,SPEAKER_00, you
33,SPEAKER_00," What I anticipated would happen, what I expected would happen."
34,SPEAKER_00, expected.
35,SPEAKER_00," At one point in time, I remember Josh asked me why I shot him."
36,SPEAKER_00, I never looked at them.
37,SPEAKER_00,
38,SPEAKER_00, you
39,SPEAKER_00, I spoke with...
40,SPEAKER_00, She pleaded with me about putting the gun down. I had two conversations with her and...
41,SPEAKER_00, before this second conversation.
42,SPEAKER_00, Somebody was coming out of the office area and I ended up finding him.
43,SPEAKER_00, got my attention after I shot.
44,SPEAKER_00, We spoke some more. She actually asked me to give her the shotgun.
45,SPEAKER_00, And...
46,SPEAKER_00, The only reason she didn't get the shotgun is there was another teacher behind her that was approaching.
47,SPEAKER_00," I didn't know what he was up to, so I pointed the shotgun at them. The police showed up."
48,SPEAKER_00, during our second conversation and I decided to go up to the library. Made it halfway there. The shotgun fired into the lockers.
49,SPEAKER_00, the police officer and I don't recall who shot at.
50,SPEAKER_00, fired back at me.
51,SPEAKER_00, But at that point in time...
52,SPEAKER_00, I decided that I didn't want to die and I threw the shotgun down. The police rushed me and
53,SPEAKER_00, I was taken into custody.
54,SPEAKER_00, I was 16.
55,SPEAKER_00," Two weeks before the crime, I planned on..."
56,SPEAKER_00, committing a crime.
57,SPEAKER_00, I told...
58,SPEAKER_00," James and Matthew, one of my friends. I didn't know what to do with the shotgun. I didn't know how to load it. Turns out that I was going to..."
59,SPEAKER_00, the wrong way.
60,SPEAKER_00, He showed me how to load the shotgun without...
61,SPEAKER_00, and the pre opponents in Playedencia and Pen basketball can click.
62,SPEAKER_00, what I wanted from...
63,SPEAKER_00, Committing with a crime was too...
64,SPEAKER_00, give people to leave me alone.
65,SPEAKER_00, based
66,SPEAKER_00, What would happen?
67,SPEAKER_00, was all for video games.
68,SPEAKER_00, shoot somebody multiple times before they end up dying.
69,SPEAKER_00," With the assistance of Good Time, I'm eligible for discretionary parole. I'll be 82. Do you think there's actually..."
70,SPEAKER_00, after serving 66 years in prison. I don't believe so. I stopped pursuing.
71,SPEAKER_00, I felt guilty about the prospect of cheating people out of...
72,SPEAKER_00, the justice that I might feel. Some people might have found closure.
73,SPEAKER_00, and the judgment I received.
74,SPEAKER_00, where I'm at. I've accepted my life for what it is. It wasn't until my mother passed away that I actually got it. I understand. Because I realized that...
75,SPEAKER_00, The loss I felt from my mother dying that the Palacios family...
76,SPEAKER_00, they feel.
77,SPEAKER_00, I sincerely hope that...
